group,variable,value
PT,2021-1-1,62.2
PT,2022-1-1,62.8
PT,2023-1-1,67.4
RO,2013-1-1,50.8
RO,2015-1-1,51.2
RO,2017-1-1,52.4
RO,2019-1-1,54.5
RO,2020-1-1,54.4
RO,2021-1-1,54.5
RO,2022-1-1,53.7
RO,2023-1-1,56.1
SI,2013-1-1,62.7
SI,2015-1-1,66.1
SI,2017-1-1,68.4
SI,2019-1-1,68.3
SI,2020-1-1,67.7
SI,2021-1-1,67.6
SI,2022-1-1,67.5
SI,2023-1-1,69.4
SK,2013-1-1,53.0
SK,2015-1-1,52.4
SK,2017-1-1,52.4
SK,2019-1-1,54.1
SK,2020-1-1,55.5
SK,2021-1-1,56.0
SK,2022-1-1,56.0
SK,2023-1-1,59.2
FI,2013-1-1,73.1
FI,2015-1-1,74.4
FI,2017-1-1,73.0
FI,2019-1-1,73.4
FI,2020-1-1,74.7
FI,2021-1-1,75.3
FI,2022-1-1,75.4
FI,2023-1-1,74.4
SE,2013-1-1,80.1
SE,2015-1-1,79.7
SE,2017-1-1,82.6
SE,2019-1-1,83.6
SE,2020-1-1,83.8
SE,2021-1-1,83.9
SE,2022-1-1,83.9
SE,2023-1-1,82.2
